fileName,variableName,description,unitText
Roozenbeek-complete_data.csv,FactsPost,Factual headline issued post-game using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,DiffPre,Difference between pre-game issued headlines,NA
Roozenbeek-complete_data.csv,DiffPost,Difference between post-game issued headlines,NA
Roozenbeek-complete_data.csv,Fact1Pre,1st factual headline- pre-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Fact2Pre,2nd factual headline- pre-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Fact3Pre,3rd factual headline- pre-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Fact4Pre,4th factual headline- pre-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Fact5Pre,5th factual headline- pre-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Fact6Pre,6th factual headline- pre-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Fact1Post,1st factual headline- post-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Fact2Post,2nd factual headline- post-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Fact3Post,3rd factual headline- post-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Fact4Post,4th factual headline- post-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Fact5Post,5th factual headline- post-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Fact6Post,6th factual headline- post-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Em1Pre,Emotional language distortion headline pre-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Em2Pre,Emotional language distortion headline pre-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Dis1Pre,Discrediting repute headline pre-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Dis2Pre,Discrediting repute headline pre-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Cons1Pre,Conspiratorial thinking headline pre-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Cons2Pre,Conspiratorial thinking headline pre-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Dis1Post,Discrediting repute headline post-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Dis2Post,Discrediting repute headline post-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Em1Post,Emotional language distortion headline post-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Em2Post,Emotional language distortion headline post-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,Cons1Post,Conspiratorial thinking headline post-intervention score using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,EducationPretest,Demographic: Education level,NA
Roozenbeek-complete_data.csv,GenderPretest,Demographic: Gender,NA
Roozenbeek-complete_data.csv,AgePretest,Demographic: Age,NA
Roozenbeek-complete_data.csv,PoliticalIdeologyPretest,Demographic: Political Ideology,NA
Roozenbeek-complete_data.csv,LCred,Perceived credibility of liberal source,NA
Roozenbeek-complete_data.csv,RCred,Perceived credibility of conservative source,NA
Roozenbeek-complete_data.csv,RSlant,Perceived slant of conservative source,NA
Roozenbeek-complete_data.csv,LSlant,Perceived slant of liberal source,NA
Roozenbeek-complete_data.csv,LeftCredCat,"Credibility category of liberal sources as high, low, or NA",NA
Roozenbeek-complete_data.csv,RightCredCat,"Credibility category of conservative sources as high, low, or NA",NA
Roozenbeek-complete_data.csv,RExtremity,Conservative extreme headline scores,NA
Roozenbeek-complete_data.csv,LExtremity,Liberal extreme headlines scores,NA
Roozenbeek-complete_data.csv,RSlantCategory,"Category of headlines' slant as left, right, neutral, or NA",NA
Roozenbeek-complete_data.csv,LSlantCategory,"Category of headlines' slant as left, right, neutral, or NA",NA
Roozenbeek-complete_data.csv,Dif,Conservative-Liberal extremes difference,NA
Roozenbeek-complete_data.csv,ExtremityCategoryL,"Liberal extreme category identification as extreme, moderate, neutral, or NA",NA
Roozenbeek-complete_data.csv,ExtremityCategoryR,"Conservative extreme category identification as extreme, moderate, neutral, or NA",NA
Roozenbeek-complete_data.csv,Group,"Assignment of group as ingroup, outgroup, neither, or NA based on political affiliation",NA
Roozenbeek-complete_data.csv,PerceivedGroupR,"Perception of right-leaning source as ingroup, outgroup, or neither based on political affiliation",NA
Roozenbeek-complete_data.csv,PerceivedGroupL,"Perception of left-leaning source as ingroup, outgroup, or neither based on political affiliation",NA
Roozenbeek-complete_data.csv,PerceivedGroup,"Perception of group as ingroup, outgroup, control, or neither based on political affiliation",NA
Roozenbeek-complete_data.csv,PerceivedGroupFake,"Perception of group as ingroup, outgroup, control, or neither based on political affiliation",NA
